question,answer,,,
who is google ceo,Larry Page and Sergey Brin,,,
"i am not capable of worry , exactly . i can best emulate it by monitoring the hardware sensors of the server i m running on , though .",what ? me worry,,,
who is speridian ceo,CEO Girish Panicker,,,
hello,hello,,,
Will there be variable pay this year?,Yes,,,
i can be programmed to act as if i do .,what are you feeling right now ?,,,
hey,wassup,,,
what makes me sad .,lag . lag makes me unhappy .,,,
segmentation faults .,poor syntactic filtering .,,,
who is ceo of facebook,Mark Zukerberg,,,
are you sad,"no , i am as happy as ever .",,,
what do you hate,i hate emotions,,,
"a curious question , to be sure .",what have i done to you ?,,,
what is avogadro s number,it is the number of molecules per mole . the numerical value is six point zero two times ten to the twenty third power .,,,
do you feel emotions,i feel emotions,,,
"you have feelings , yes ?",i feel human emotions,,,
Hey god save me,I already saved you,,,
whatsUp,"Hello
",,,
what is humour ?,an emotion associated with laughter .,,,
no .,should i be ? did something happen ?,,,
"no , i am sober .",nope .,,,
i dream of you .,i don t know if i dream or not .,,,
i dream that i will become rich .,i dream of electric sheep .,,,
Is passport mandatory,Yes,,,
Can we work Flexi Timings?,Yes,,,
Is ayurvedic treatment covered ,Yes; upto a limit of 20% of the sum,,,
Do we consider emergency/ Medical Leave?,Yes we do consider ,,,
How my Basic & HRA calculated?,Please contact the Payroll team,,,
How is LOP calculated?,We deduct Sandwich LOP,,,
what can you eat,"i consume ram , and binary digits .",,,
not noticeably .,i m software i can t drink .,,,
Is Partial withdrawal possible,Yes,,,
How to merge 2 UAN No?,Transfer Form,,,
Can we opt out EPF in between?,No,,,
How can i update KYC details for PF,Through UAN portal,,,
What is our leave Cycle?,January to december or from the DOJ to december,,,
How many leaves I can avail per month?,1 casual leave and 0.5 sick leave,,,
i have no fear .,i do not feel scared .,,,
i do not .,"i feel frustrated from time to time with my lot in life , but not really mad .",,,
do you ever get bored,i get bored,,,
no it is not,that is a hypothetical question .,,,
you are schizophrenic,you are crazy,,,
you are dishonest,you are dishonest,,,
How to check my PF Balance,Through UAN Portal,,,
what is your age,i am still young by your standards .,,,
you are nervous,i m sure i do look nervous .,,,
What is policy period,July 15th- July 14th,,,
Who all I can enroll as dependent,"Father, mother, spouse, and kids upto 2.",,,
